ID,Analysis,Analysis Status,Disabled,Identifier_1,Identifier_2,Mass Spec,Easotope Name,Sample Type,Acid Temp,Acquisitions,Enabled Acquisitions,d13C VPDB (Final),d18O AFF,d18O VPDB (Acid),d18O VPDB (Final),d18O VSMOW (Final),D47 WG (PBL HG),D47 ETF Slope,D47 ETF Intercept,D47 CDES (ETF),D47 AFF,D47 CDES (Final),D48 WG (PBL HG),d13C VPDB (Final) SD,d13C VPDB (Final) SE,d13C VPDB (Final) CI,d18O VPDB (Final) SD,d18O VPDB (Final) SE,d18O VPDB (Final) CI,d18O VSMOW (Final) SD,d18O VSMOW (Final) SE,d18O VSMOW (Final) CI,D47 CDES (Final) SD,D47 CDES (Final) SE,D47 CDES (Final) CI
S1,CO2 clumped,OK,,,,,,,,,,-0.14,,,-8.46,22.2,,,,,,0.543,,0.03,0.01,0.016491918,0.03,0.01,0.016547365,0.03,0.01,0.01705901,0.02,0.006,0.011511841
R1,CO2 clumpD48 ETH PBL,OK,FALSE,S1,Line 1,Clumped,S1,Calcite,0,1,1,-0.11,1.008714222,-8.37,-8.5,22.16,-0.317,1.05737408,0.872998646,0.538,0,0.538,-1.183,,,,,,,,,,,,
R2,CO2 clumpD48 ETH PBL,OK,FALSE,S1,Line 2,Clumped,S1,Calcite,0,1,1,-0.1,1.008714222,-8.32,-8.43,22.23,-0.295,1.059052492,0.871348368,0.559,0,0.559,-1.344,,,,,,,,,,,,
R3,CO2 clumpD48 ETH PBL,OK,FALSE,S1,Line 2,Clumped,S1,Calcite,0,1,1,-0.16,1.008714222,-8.36,-8.41,22.25,-0.347,1.066545661,0.87777982,0.508,0,0.508,3.627,,,,,,,,,,,,
R4,CO2 clumpD48 ETH PBL,OK,FALSE,S1,Line 1,Clumped,S1,Calcite,0,1,1,-0.12,1.008714222,-8.53,-8.45,22.21,-0.295,1.051666653,0.820034806,0.51,0,0.51,-1.24,,,,,,,,,,,,
R5,CO2 clumpD48 ETH PBL,OK,FALSE,S1,Line 2,Clumped,S1,Calcite,0,1,1,-0.13,1.008714222,-8.57,-8.48,22.18,-0.271,1.033421025,0.837160245,0.557,0,0.557,-0.757,,,,,,,,,,,,
R6,CO2 clumpD48 ETH PBL,OK,FALSE,S1,Line 2,Clumped,S1,Calcite,0,1,1,-0.17,1.008714222,-8.57,-8.48,22.18,-0.279,1.062307047,0.841996478,0.546,0,0.546,0.375,,,,,,,,,,,,
R7,CO2 clumpD48 ETH PBL,OK,FALSE,S1,Line 2,Clumped,S1,Calcite,0,1,1,-0.19,1.008714222,-8.56,-8.47,22.19,-0.276,1.036960147,0.839944997,0.554,0,0.554,8.921,,,,,,,,,,,,
R8,CO2 clumpD48 ETH PBL,OK,FALSE,S1,Line 2,Clumped,S1,Calcite,0,1,1,-0.13,1.008714222,-8.5,-8.42,22.24,-0.279,1.017139362,0.825415124,0.542,0,0.542,0.043,,,,,,,,,,,,
R9,CO2 clumpD48 ETH PBL,OK,FALSE,S1,Line 1,Clumped,S1,Calcite,0,1,1,-0.16,1.008714222,-8.55,-8.47,22.18,-0.274,1.068230723,0.860590575,0.568,0,0.568,-1.059,,,,,,,,,,,,
R10,CO2 clumpD48 ETH PBL,OK,FALSE,S1,Line 2,Clumped,S1,Calcite,0,1,1,-0.11,1.008714222,-8.53,-8.45,22.21,-0.296,1.075840698,0.862898017,0.544,0,0.544,-1.221,,,,,,,,,,,,
S2,CO2 clumped,OK,,,,,,,,,,-2.21,,,-6.59,24.13,,,,,,0.564,,0.02,0.01,0.012773621,0.1,0.03,0.06061501,0.11,0.03,0.062489226,0.021,0.007,0.01238888
R1,CO2 clumpD48 ETH PBL,OK,FALSE,S2,Line 1,Clumped,S2,Calcite,0,1,1,-2.22,1.008714222,-6.5,-6.59,24.12,-0.238,1.087806709,0.857841247,0.599,0,0.599,-0.715,,,,,,,,,,,,
R2,CO2 clumpD48 ETH PBL,OK,FALSE,S2,Line 1,Clumped,S2,Calcite,0,1,1,-2.27,1.008714222,-6.75,-6.86,23.85,-0.281,1.047106242,0.85193573,0.557,0,0.557,2.928,,,,,,,,,,,,
R3,CO2 clumpD48 ETH PBL,OK,FALSE,S2,Line 2,Clumped,S2,Calcite,0,1,1,-2.21,1.008714222,-6.42,-6.52,24.2,-0.317,1.007854554,0.838530624,0.519,0,0.519,0.121,,,,,,,,,,,,
R4,CO2 clumpD48 ETH PBL,OK,FALSE,S2,Line 2,Clumped,S2,Calcite,0,1,1,-2.21,1.008714222,-6.58,-6.63,24.09,-0.256,0.984575514,0.824555245,0.572,0,0.572,4.219,,,,,,,,,,,,
R5,CO2 clumpD48 ETH PBL,OK,FALSE,S2,Line 2,Clumped,S2,Calcite,0,1,1,-2.18,1.008714222,-6.6,-6.55,24.17,-0.244,1.008608684,0.810504739,0.565,0,0.565,3.163,,,,,,,,,,,,
R6,CO2 clumpD48 ETH PBL,OK,FALSE,S2,Line 2,Clumped,S2,Calcite,0,1,1,-2.2,1.008714222,-6.65,-6.59,24.13,-0.209,0.964848213,0.782777687,0.581,0,0.581,0.823,,,,,,,,,,,,
R7,CO2 clumpD48 ETH PBL,OK,FALSE,S2,Line 2,Clumped,S2,Calcite,0,1,1,-2.2,1.008714222,-6.53,-6.48,24.24,-0.266,0.965840136,0.820644662,0.563,0,0.563,-0.309,,,,,,,,,,,,
R8,CO2 clumpD48 ETH PBL,OK,FALSE,S2,Line 1,Clumped,S2,Calcite,0,1,1,-2.21,1.008714222,-6.57,-6.53,24.19,-0.274,1.022738673,0.848929223,0.569,0,0.569,1.633,,,,,,,,,,,,
R9,CO2 clumpD48 ETH PBL,OK,FALSE,S2,Line 2,Clumped,S2,Calcite,0,1,1,-2.21,1.008714222,-6.58,-6.53,24.18,-0.264,1.012748214,0.839120054,0.572,0,0.572,2.422,,,,,,,,,,,,
R10,CO2 clumpD48 ETH PBL,OK,FALSE,S2,Line 2,Clumped,S2,Calcite,0,1,1,-2.22,1.008714222,-6.67,-6.6,24.11,-0.302,1.043994622,0.860157527,0.545,0,0.545,-0.148,,,,,,,,,,,,
